,SMAPE,MAE,RMSE,R2
1. Baseline (TF-IDF),51.67822832577612,11.713466664752271,34.24527256360811,0.22294259573895026
2. Main Multimodal (PyTorch efficientnet_b0),52.550162906644395,11.99126183283027,32.960708170670074,0.2801451802404338
3. Strong Baseline (K-Fold Text),50.078926945517644,11.127945321731731,32.348458111142826,0.3066396251157745
4. Hybrid LGBM (K-Fold, EffNet-B0)",46.951458,10.825948,30.158917,0.365333
